ItemID;CommonName;Genus;Species;Family
1294;ticktrefoil, large bract;Desmodium;cuspidatum;Fabaceae
1296;ticktrefoil, Illinois;Desmodium;illinoense;Fabaceae
65;pink, Deptford;Dianthus;armeria;Caryophyllaceae
399;sweetwilliam;Dianthus;barbatus;Caryophyllaceae
1571;pink, maiden;Dianthus;carthusianorum;Caryophyllaceae
633;pink, maiden;Dianthus;deltoides;Caryophyllaceae
1155;pink, feathered;Dianthus;plumarius;Caryophyllaceae
1316;squirrel-corn;Dicentra;canadensis;Papaveraceae
112;dutchman's breeches;Dicentra;cucullaria;Papaveraceae
1092;waterpurslane;Didiplis;diandra;Lythraceae
1244;honeysuckle, northern bush;Diervilla;lonicera;Caprifoliaceae
1543;foxglove, yellow;Digitalis;grandiflora;Plantaginaceae
1544;foxglove, Grecian;Digitalis;lanata;Plantaginaceae
1807;foxglove, straw;Digitalis;lutea;Plantaginaceae
225;foxglove;Digitalis;purpurea;Plantaginaceae
1683;buttonweed;Diodia;teres;Rubiaceae
1276;yam, wild;Dioscorea;villosa;Dioscoreaceae
400;wallrocket, annual;Diplotaxis;muralis;Brassicaceae
75;teasel, fuller's;Dipsacus;fullonum;Dipsacaceae
1030;teasel, cutleaf;Dipsacus;laciniatus;Dipsacaceae
1561;leatherwood, eastern;Dirca;palustris;Thymelaeaceae
1455;shootingstar, jeweled;Dodecatheon;amethystinum;Primulaceae
401;Ohio, pride of;Dodecatheon;meadia;Primulaceae
1165;whitetop, parasol;Doellingeria;umbellata;Asteraceae
1238;whitlowgrass, rock;Draba;arabisans;Brassicaceae
267;draba, lance-leaved;Draba;cana;Brassicaceae
268;draba, woods;Draba;nemorosa;Brassicaceae
403;whitlowgrass, Carolina;Draba;reptans;Brassicaceae
269;whitlow-grass, spring;Draba;verna;Brassicaceae
404;dragonhead, American;Dracocephalum;parviflorum;Lamiaceae
270;sundew;Drosera;anglica;Droseraceae
772;sundew, spoon-leaved;Drosera;intermedia;Droseraceae
737;sundew, slenderleaf;Drosera;linearis;Droseraceae
405;sundew, roundleaf;Drosera;rotundifolia;Droseraceae
302;cinquefoil, tall;Drymocallis;arguta;Rosaceae
406;strawberry, Indian;Duchesnea;indica;Rosaceae
47;wormseed, Mexican tea;Dysphania;ambrosioides;Chenopodiaceae
48;geranium, feather;Dysphania;botrys;Chenopodiaceae
382;goosefoot, clammy;Dysphania;pumilio;Chenopodiaceae
919;marigold, fetid;Dyssodia;papposa;Asteraceae
1603;coneflower, pale;Echinacea;pallida;Asteraceae
327;cucumber, wild;Echinocystis;lobata;Cucurbitaceae
1093;burrhead, upright;Echinodorus;berteroi;Alismataceae
920;globethistle, great;Echinops;sphaerocephalus;Asteraceae
634;vipersbugloss, common;Echium;vulgare;Boraginaceae
1181;daisy, false;Eclipta;prostrata;Asteraceae
407;olive, Russian;Elaeagnus;angustifolia;Elaeagnaceae
1624;olive, autumn;Elaeagnus;umbellata;Elaeagnaceae
1277;waterwort, small;Elatine;minima;Elatinaceae
408;waterwort, threestamen;Elatine;rubella;Elatinaceae
693;Aunt Lucy;Ellisia;nyctelea;Boraginaceae
121;waterweed;Elodea;canadensis;Hydrocharitaceae
409;waterweed, western;Elodea;nuttallii;Hydrocharitaceae
1696;mint, crested late summer;Elsholtzia;ciliata;Lamiaceae
1467;rue-anemone, eastern false;Enemion;biternatum;Ranunculaceae
1720;cancer root;Epifagus;virginiana;Orobanchaceae
1279;arbutus, trailing;Epigaea;repens;Ericaceae
146;willow-herb, tall annual;Epilobium;brachycarpum;Onagraceae
271;willow-herb, common;Epilobium;ciliatum;Onagraceae
1394;willowherb, purple-leaf;Epilobium;coloratum;Onagraceae
635;codlins-and-cream;Epilobium;hirsutum;Onagraceae
636;willowherb, bog;Epilobium;leptophyllum;Onagraceae
145;willow-herb, swamp;Epilobium;palustre;Onagraceae
694;willowherb, downy;Epilobium;strictum;Onagraceae
556;helleborine;Epipactis;helleborine;Orchidaceae
921;burnweed, American;Erechtites;hieraciifolius;Asteraceae
1724;harbinger-of-spring;Erigenia;bulbosa;Apiaceae
922;fleabane, bitter;Erigeron;acris;Asteraceae
923;fleabane, eastern daisy;Erigeron;annuus;Asteraceae
924;fleabane, streamside;Erigeron;glabellus;Asteraceae
925;fleabane, Philadelphia;Erigeron;philadelphicus;Asteraceae
1182;robin's-plantain;Erigeron;pulchellus;Asteraceae
926;fleabane, daisy;Erigeron;strigosus;Asteraceae
1283;pipewort, seven angle;Eriocaulon;aquaticum;Eriocaulaceae
114;geranium, stork's bill;Erodium;cicutarium;Geraniaceae
274;mustard, dog;Erucastrum;gallicum;Brassicaceae
1032;eryngo, plains;Eryngium;planum;Apiaceae
1125;eryngo, button;Eryngium;yuccifolium;Apiaceae
410;wallflower, sanddune;Erysimum;capitatum;Brassicaceae
325;wallflower, wormseed;Erysimum;cheiranthoides;Brassicaceae
1584;wallflower, European;Erysimum;hieraciifolium;Brassicaceae
411;wallflower, shy;Erysimum;inconspicuum;Brassicaceae
1369;fawnlily, small white;Erythronium;albidum;Liliaceae
1370;troutlily, American;Erythronium;americanum;Liliaceae
157;poppy, California;Eschscholzia;californica;Papaveraceae
739;spindletree, winged;Euonymus;alatus;Celastraceae
740;wahoo, eastern;Euonymus;atropurpureus;Celastraceae
1600;spindle-tree, European;Euonymus;europaea;Celastraceae
1737;spindletree, winter creeper;Euonymus;fortunei;Celastraceae
1817;running-shrub;Euonymus;obovatus;Celastraceae
1183;thoroughwort, tall;Eupatorium;altissimum;Asteraceae
1184;boneset, common;Eupatorium;perfoliatum;Asteraceae
1604;boneset, late;Eupatorium;serotinum;Asteraceae
1187;boneset, upland;Eupatorium;sessilifolium;Asteraceae
1285;spurge, flowering;Euphorbia;corollata;Euphorbiaceae
1096;fire-on-the-mountain;Euphorbia;cyathophora;Euphorbiaceae
89;spurge, cypress;Euphorbia;cyparissias;Euphorbiaceae
1786;poinsettia, David's;Euphorbia;davidii;Euphorbiaceae
819;spurge, toothed;Euphorbia;dentata;Euphorbiaceae
412;milk, madwoman's;Euphorbia;helioscopia;Euphorbiaceae
741;spurge, sixangle;Euphorbia;hexagona;Euphorbiaceae
1776;sandmat, pill pod;Euphorbia;hirta;Euphorbiaceae
742;snow-on-the-mountain;Euphorbia;marginata;Euphorbiaceae
414;spurge, warty;Euphorbia;obtusata;Euphorbiaceae
413;spurge, pretty;Euphorbia;peplus;Euphorbiaceae
275;spurge, leafy;Euphorbia;virgata;Euphorbiaceae
415;eyebright, drug;Euphrasia;nemorsa;Orobanchaceae
1597;aster, forked;Eurybia;furcata;Asteraceae
1160;aster, bigleaf;Eurybia;macrophylla;Asteraceae
1362;goldenrod, coastal plain flat-topped;Euthamia;caroliniana;Asteraceae
928;goldentop, flattened;Euthamia;graminifolia;Asteraceae
1099;euthamia, viscid;Euthamia;gymnospermoides;Asteraceae
927;joe-pye-weed, spotted;Eutrochium;maculatum;Asteraceae
1185;Joe-Pye-weed, sweet-scented;Eutrochium;purpureum;Asteraceae
416;fagopyrum;Fagopyrum;esculentum;Polygonaceae
1651;beech, American;Fagus;grandifolia;Fagaceae
171;sickleweed;Falcaria;vulgaris;Apiaceae
1440;bindweed, fringed black;Fallopia;cilinodis;Polygonaceae
520;bindweed, black;Fallopia;convolvulus;Polygonaceae
521;knotweed, Japanese;Fallopia;japonica;Polygonaceae
526;knotweed, giant;Fallopia;sachalinensis;Polygonaceae
848;buckwheat, climbing false;Fallopia;scandens;Polygonaceae
1385;crabweed, hairy;Fatoua;villosa;Moraceae
668;buttercup, fig;Ficaria;verna;Ranunculaceae
1678;queen-of-the-prairie;Filipendula;rubra;Rosaceae
1101;queen-of-the-meadow;Filipendula;ulmaria;Rosaceae
137;mermaid, false;Floerkea;proserpinacoides;Limnanthaceae
417;fennel, sweet;Foeniculum;vulgare;Apiaceae
196;strawberry, woods;Fragaria;vesca;Rosaceae
197;strawberry, broadpetal;Fragaria;virginiana;Rosaceae
1033;buckthorn, European alder;Frangula;alnus;Rhamnaceae
1034;ash, white;Fraxinus;americana;Oleaceae
1391;ash, black;Fraxinus;nigra;Oleaceae
743;ash, green or red;Fraxinus;pennsylvanica;Oleaceae
1655;ash, blue;Fraxinus;quadrangulata;Oleaceae
